SMILES,IC50_nM,pIC50
COc1ccc(-c2nc3cnc(NCc4ccc(Cl)c(Cl)c4)nc3n(CCC(N)=O)c2=O)cc1,140.0,6.85
COc1ccc(-c2nc3cnc(NCc4ccc(Cl)c(Cl)c4)nc3n(CCNC(=O)c3ccccc3)c2=O)cc1,3000.0,5.522878745280337
COc1ccc(-c2nc3cnc(NCc4ccc(Cl)c(Cl)c4)nc3n(CCNC(=O)c3ccsc3)c2=O)cc1,4000.0,5.4
COc1ccc(-c2nc3cnc(NCc4ccc(Cl)c(Cl)c4)nc3n(CCNC(C)=O)c2=O)cc1,410.0,6.39
COc1ccc(-c2nc3cnc(NCc4ccc(Cl)c(Cl)c4)nc3n(CCNS(C)(=O)=O)c2=O)cc1,1670.0,5.78
COc1ccc(-c2nc3cnc(NCc4cccc(C(F)(F)F)c4)nc3n(CCC(N)=O)c2=O)cc1,5.6,8.25
COc1ccc(-c2nc3cnc(NCc4cccc(Cl)c4)nc3n(CCNC(C)=O)c2=O)cc1,4600.0,5.34
COc1ccc(/C=C/C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1,3.0,8.52
COc1ccc(C(=O)N(C)c2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,828.0,6.08
COc1ccc(C(=O)Nc2ccc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,145.0,6.84
COc1ccc(C(=O)Nc2cnc(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)s2)cc1OCCO,32.0,7.5
COc1ccc(C(=O)Nc2nc3cc(N)ccc3s2)cc1,50000.0,4.301029995663981
COc1ccc(C(=O)Nc2nc3ccc(OC)cc3s2)cc1,25550.0,5.130514997831991
COc1ccc(C(=O)Nc2nc3ccccc3s2)cc1,16800.0,5.045
COc1ccc(C(=O)Nc2ncc(C(O)c3cccc(C(F)(F)F)c3)s2)cc1OCCO,884.0,6.05
COc1ccc(C(=O)Nc2ncc(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)s2)cc1OCCO,0.3,9.52
COc1ccc(C(=O)Nc2ncc(Cc3cc(Cl)cc(Cl)c3)s2)cc1OCCO,7.0,8.445
COc1ccc(C(=O)Nc2ncc(Cc3cc(Cl)ccc3Cl)s2)cc1OCCO,277.0,6.635
COc1ccc(C(=O)Nc2ncc(Cc3cc(F)cc(F)c3)s2)cc1OCCO,59.45,7.74
COc1ccc(C(=O)Nc2ncc(Cc3ccc(C)c(F)c3)s2)cc1OCCO,360.5,6.640000000000001
COc1ccc(C(=O)Nc2ncc(Cc3ccc(Cl)c(Cl)c3)s2)cc1OCCO,7.0,8.445
COc1ccc(C(=O)Nc2ncc(Cc3ccc(F)c(C(F)(F)F)c3)s2)cc1OCCO,4.3,8.66
COc1ccc(C(=O)Nc2ncc(Cc3ccc(F)c(Cl)c3)s2)cc1OCCO,9.5,8.235
COc1ccc(C(=O)Nc2ncc(Cc3ccc(F)c(F)c3)s2)cc1OCCO,21.5,7.76
COc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1,1218.0,5.91
COc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OC,145.0,6.84
COc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCC(C)O,2162.0,5.67
COc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCC(O)CO,9999.0,5.000043431619807
